
0it [00:00, ?it/s]
1864it [00:06, 280.67it/s, bound: 0 | nc: 3 | ncall: 12051 | eff(%): 15.468 | loglstar:   -inf < -327.276 <    inf | logz: -334.399 +/-  0.025 | dlogz: 334.371 >  0.100]
1907it [00:07, 276.52it/s, bound: 0 | nc: 1 | ncall: 12101 | eff(%): 15.759 | loglstar:   -inf < -323.414 <    inf | logz: -330.173 +/-  0.024 | dlogz: 330.106 >  0.100]
1951it [00:07, 280.71it/s, bound: 0 | nc: 1 | ncall: 12151 | eff(%): 16.056 | loglstar:   -inf < -319.784 <    inf | logz: -326.695 +/-  0.025 | dlogz: 326.636 >  0.100]
1994it [00:07, 283.50it/s, bound: 0 | nc: 1 | ncall: 12201 | eff(%): 16.343 | loglstar:   -inf < -316.143 <    inf | logz: -322.906 +/-  0.024 | dlogz: 322.829 >  0.100]
2036it [00:07, 252.22it/s, bound: 0 | nc: 1 | ncall: 12251 | eff(%): 16.619 | loglstar:   -inf < -312.122 <    inf | logz: -319.017 +/-  0.024 | dlogz: 318.944 >  0.100]
2077it [00:07, 249.51it/s, bound: 0 | nc: 1 | ncall: 12301 | eff(%): 16.885 | loglstar:   -inf < -308.193 <    inf | logz: -315.531 +/-  0.025 | dlogz: 315.492 >  0.100]
2114it [00:07, 234.06it/s, bound: 0 | nc: 2 | ncall: 12351 | eff(%): 17.116 | loglstar:   -inf < -303.816 <    inf | logz: -311.207 +/-  0.025 | dlogz: 311.173 >  0.100]
2153it [00:08, 233.46it/s, bound: 0 | nc: 1 | ncall: 12401 | eff(%): 17.362 | loglstar:   -inf < -300.353 <    inf | logz: -307.437 +/-  0.025 | dlogz: 307.372 >  0.100]
2194it [00:08, 231.49it/s, bound: 0 | nc: 1 | ncall: 12451 | eff(%): 17.621 | loglstar:   -inf < -297.212 <    inf | logz: -303.991 +/-  0.024 | dlogz: 303.894 >  0.100]
2231it [00:08, 216.16it/s, bound: 0 | nc: 2 | ncall: 12502 | eff(%): 17.845 | loglstar:   -inf < -294.675 <    inf | logz: -301.453 +/-  0.024 | dlogz: 301.353 >  0.100]
2266it [00:08, 210.43it/s, bound: 0 | nc: 1 | ncall: 12551 | eff(%): 18.054 | loglstar:   -inf < -292.027 <    inf | logz: -298.875 +/-  0.024 | dlogz: 298.775 >  0.100]
2308it [00:08, 218.26it/s, bound: 0 | nc: 1 | ncall: 12601 | eff(%): 18.316 | loglstar:   -inf < -289.156 <    inf | logz: -295.822 +/-  0.024 | dlogz: 295.705 >  0.100]
2347it [00:09, 219.15it/s, bound: 0 | nc: 5 | ncall: 12652 | eff(%): 18.550 | loglstar:   -inf < -286.523 <    inf | logz: -293.102 +/-  0.024 | dlogz: 292.976 >  0.100]
2386it [00:09, 222.43it/s, bound: 0 | nc: 2 | ncall: 12702 | eff(%): 18.784 | loglstar:   -inf < -284.099 <    inf | logz: -290.694 +/-  0.024 | dlogz: 290.565 >  0.100]
2424it [00:09, 219.63it/s, bound: 0 | nc: 1 | ncall: 12751 | eff(%): 19.010 | loglstar:   -inf < -282.060 <    inf | logz: -288.591 +/-  0.024 | dlogz: 288.455 >  0.100]
2465it [00:09, 227.78it/s, bound: 0 | nc: 1 | ncall: 12801 | eff(%): 19.256 | loglstar:   -inf < -279.554 <    inf | logz: -286.126 +/-  0.024 | dlogz: 285.988 >  0.100]
2503it [00:09, 220.46it/s, bound: 0 | nc: 2 | ncall: 12851 | eff(%): 19.477 | loglstar:   -inf < -276.614 <    inf | logz: -283.457 +/-  0.024 | dlogz: 283.334 >  0.100]
2540it [00:09, 210.31it/s, bound: 0 | nc: 1 | ncall: 12901 | eff(%): 19.688 | loglstar:   -inf < -274.145 <    inf | logz: -280.946 +/-  0.024 | dlogz: 280.813 >  0.100]
2579it [00:10, 216.13it/s, bound: 0 | nc: 2 | ncall: 12951 | eff(%): 19.914 | loglstar:   -inf < -271.114 <    inf | logz: -278.180 +/-  0.024 | dlogz: 278.068 >  0.100]
2618it [00:10, 224.04it/s, bound: 0 | nc: 6 | ncall: 13006 | eff(%): 20.129 | loglstar:   -inf < -268.220 <    inf | logz: -275.352 +/-  0.024 | dlogz: 275.239 >  0.100]
2654it [00:10, 221.04it/s, bound: 0 | nc: 1 | ncall: 13051 | eff(%): 20.336 | loglstar:   -inf < -266.052 <    inf | logz: -272.747 +/-  0.024 | dlogz: 272.597 >  0.100]
