
0it [00:00, ?it/s]
3973it [00:14, 243.50it/s, bound: 0 | nc: 1 | ncall: 14851 | eff(%): 26.752 | loglstar:   -inf < -449.432 <    inf | logz: -457.607 +/-  0.027 | dlogz: 461.666 >  0.100]
4009it [00:14, 261.92it/s, bound: 0 | nc: 1 | ncall: 14901 | eff(%): 26.904 | loglstar:   -inf < -442.821 <    inf | logz: -450.554 +/-  0.026 | dlogz: 454.543 >  0.100]
4043it [00:14, 249.56it/s, bound: 0 | nc: 3 | ncall: 14953 | eff(%): 27.038 | loglstar:   -inf < -436.530 <    inf | logz: -444.657 +/-  0.027 | dlogz: 448.729 >  0.100]
4069it [00:14, 224.44it/s, bound: 0 | nc: 4 | ncall: 15002 | eff(%): 27.123 | loglstar:   -inf < -432.988 <    inf | logz: -440.309 +/-  0.026 | dlogz: 444.250 >  0.100]
4102it [00:14, 227.70it/s, bound: 0 | nc: 1 | ncall: 15051 | eff(%): 27.254 | loglstar:   -inf < -427.100 <    inf | logz: -434.767 +/-  0.026 | dlogz: 438.751 >  0.100]
4137it [00:14, 231.11it/s, bound: 0 | nc: 4 | ncall: 15104 | eff(%): 27.390 | loglstar:   -inf < -419.071 <    inf | logz: -427.041 +/-  0.026 | dlogz: 431.048 >  0.100]
4166it [00:14, 235.40it/s, bound: 0 | nc: 2 | ncall: 15151 | eff(%): 27.497 | loglstar:   -inf < -414.847 <    inf | logz: -422.542 +/-  0.026 | dlogz: 426.514 >  0.100]
4202it [00:15, 217.63it/s, bound: 0 | nc: 1 | ncall: 15201 | eff(%): 27.643 | loglstar:   -inf < -411.514 <    inf | logz: -418.824 +/-  0.025 | dlogz: 422.747 >  0.100]
4240it [00:15, 232.48it/s, bound: 0 | nc: 2 | ncall: 15251 | eff(%): 27.801 | loglstar:   -inf < -405.487 <    inf | logz: -413.122 +/-  0.026 | dlogz: 417.075 >  0.100]
4271it [00:15, 223.76it/s, bound: 0 | nc: 1 | ncall: 15301 | eff(%): 27.913 | loglstar:   -inf < -400.291 <    inf | logz: -408.109 +/-  0.026 | dlogz: 412.086 >  0.100]
4297it [00:15, 204.57it/s, bound: 0 | nc: 1 | ncall: 15351 | eff(%): 27.992 | loglstar:   -inf < -396.560 <    inf | logz: -404.509 +/-  0.026 | dlogz: 408.470 >  0.100]
4325it [00:15, 202.88it/s, bound: 0 | nc: 2 | ncall: 15401 | eff(%): 28.083 | loglstar:   -inf < -393.041 <    inf | logz: -400.469 +/-  0.026 | dlogz: 404.385 >  0.100]
4358it [00:15, 209.28it/s, bound: 0 | nc: 1 | ncall: 15451 | eff(%): 28.205 | loglstar:   -inf < -388.172 <    inf | logz: -396.023 +/-  0.026 | dlogz: 399.978 >  0.100]
4386it [00:15, 202.69it/s, bound: 0 | nc: 2 | ncall: 15501 | eff(%): 28.295 | loglstar:   -inf < -384.954 <    inf | logz: -392.290 +/-  0.025 | dlogz: 396.189 >  0.100]
4419it [00:16, 208.46it/s, bound: 0 | nc: 1 | ncall: 15551 | eff(%): 28.416 | loglstar:   -inf < -379.648 <    inf | logz: -387.250 +/-  0.026 | dlogz: 391.177 >  0.100]
4451it [00:16, 209.95it/s, bound: 0 | nc: 1 | ncall: 15601 | eff(%): 28.530 | loglstar:   -inf < -375.095 <    inf | logz: -383.013 +/-  0.026 | dlogz: 387.003 >  0.100]
4483it [00:16, 212.93it/s, bound: 0 | nc: 2 | ncall: 15652 | eff(%): 28.642 | loglstar:   -inf < -371.700 <    inf | logz: -378.937 +/-  0.025 | dlogz: 382.810 >  0.100]
4517it [00:16, 217.74it/s, bound: 0 | nc: 5 | ncall: 15703 | eff(%): 28.765 | loglstar:   -inf < -366.736 <    inf | logz: -374.530 +/-  0.026 | dlogz: 378.481 >  0.100]
4550it [00:16, 224.03it/s, bound: 0 | nc: 1 | ncall: 15751 | eff(%): 28.887 | loglstar:   -inf < -362.365 <    inf | logz: -369.692 +/-  0.026 | dlogz: 373.578 >  0.100]
4582it [00:16, 222.45it/s, bound: 0 | nc: 1 | ncall: 15801 | eff(%): 28.998 | loglstar:   -inf < -358.161 <    inf | logz: -365.689 +/-  0.025 | dlogz: 369.591 >  0.100]
4612it [00:16, 217.85it/s, bound: 0 | nc: 7 | ncall: 15856 | eff(%): 29.087 | loglstar:   -inf < -354.719 <    inf | logz: -362.317 +/-  0.026 | dlogz: 366.221 >  0.100]
4641it [00:17, 218.90it/s, bound: 0 | nc: 3 | ncall: 15902 | eff(%): 29.185 | loglstar:   -inf < -350.371 <    inf | logz: -358.023 +/-  0.026 | dlogz: 361.939 >  0.100]
4675it [00:17, 228.07it/s, bound: 0 | nc: 1 | ncall: 15951 | eff(%): 29.309 | loglstar:   -inf < -347.455 <    inf | logz: -354.806 +/-  0.025 | dlogz: 358.675 >  0.100]
4708it [00:17, 227.10it/s, bound: 0 | nc: 10 | ncall: 16003 | eff(%): 29.419 | loglstar:   -inf < -344.228 <    inf | logz: -351.292 +/-  0.025 | dlogz: 355.138 >  0.100]
4736it [00:17, 232.06it/s, bound: 0 | nc: 2 | ncall: 16052 | eff(%): 29.504 | loglstar:   -inf < -340.815 <    inf | logz: -348.199 +/-  0.026 | dlogz: 352.065 >  0.100] 
4763it [00:17, 227.33it/s, bound: 0 | nc: 2 | ncall: 16102 | eff(%): 29.580 | loglstar:   -inf < -337.741 <    inf | logz: -345.091 +/-  0.026 | dlogz: 348.957 >  0.100]
4789it [00:17, 226.71it/s, bound: 0 | nc: 1 | ncall: 16151 | eff(%): 29.651 | loglstar:   -inf < -335.442 <    inf | logz: -342.750 +/-  0.025 | dlogz: 346.610 >  0.100]
4820it [00:17, 220.44it/s, bound: 0 | nc: 1 | ncall: 16201 | eff(%): 29.751 | loglstar:   -inf < -331.842 <    inf | logz: -339.431 +/-  0.026 | dlogz: 343.314 >  0.100]
4852it [00:18, 221.11it/s, bound: 0 | nc: 1 | ncall: 16251 | eff(%): 29.857 | loglstar:   -inf < -329.027 <    inf | logz: -336.358 +/-  0.025 | dlogz: 340.198 >  0.100]
4884it [00:18, 221.51it/s, bound: 0 | nc: 1 | ncall: 16301 | eff(%): 29.961 | loglstar:   -inf < -325.570 <    inf | logz: -332.992 +/-  0.025 | dlogz: 336.848 >  0.100]
4915it [00:18, 208.74it/s, bound: 0 | nc: 2 | ncall: 16351 | eff(%): 30.059 | loglstar:   -inf < -321.575 <    inf | logz: -329.481 +/-  0.026 | dlogz: 333.398 >  0.100]
4945it [00:18, 209.60it/s, bound: 0 | nc: 1 | ncall: 16401 | eff(%): 30.151 | loglstar:   -inf < -318.183 <    inf | logz: -325.761 +/-  0.026 | dlogz: 329.623 >  0.100]
4975it [00:18, 211.60it/s, bound: 0 | nc: 4 | ncall: 16451 | eff(%): 30.241 | loglstar:   -inf < -315.691 <    inf | logz: -322.967 +/-  0.025 | dlogz: 326.802 >  0.100]
5005it [00:18, 202.25it/s, bound: 0 | nc: 4 | ncall: 16503 | eff(%): 30.328 | loglstar:   -inf < -312.268 <    inf | logz: -319.830 +/-  0.026 | dlogz: 323.694 >  0.100]
5038it [00:18, 223.37it/s, bound: 0 | nc: 3 | ncall: 16553 | eff(%): 30.436 | loglstar:   -inf < -308.777 <    inf | logz: -316.153 +/-  0.025 | dlogz: 319.991 >  0.100]
